,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1715,259168516,1680.01,,2,5,5,2,4,4,4,1.2,9.0,2.61,11,0,5,PC,True,13.3081,0.007,,1,spoc-s14-s60-b0A-PC,SPOC,19:29:15.35,65:58:25.69,56.574,0.104,-131.332,0.094,2459657.394071,0.0027612,4.80265608124775,5.3177664e-06,1.16586476629033,0.16402517,4.742105,0.195948,4358.11576778206,180.45848,1.42024592024071,0.3005025,4.45109692472094,370.455897029126,26.47739,37.2209,0.06155,3231.0,157.0,5.04064,0.0219142,0.213458999991417,0.00640239,,,0.182476,0.0200755,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59",2020-01-30,2023-05-25,2023-07-21 12:03:15,
1717,367366318,1682.01,,5,5,5,5,5,5,5,279.4,372.9,317.0,0,0,2,KP,True,8.14847,0.006,,1,qlp-s71-ffi,SPOC/QLP,05:13:10.94,33:19:04.63,10.622,0.082,-49.779,0.058,2460257.740089,7.41e-05,2.7347656,3e-07,3.215,0.023,10.026239,0.024081,9192.0,22.1792,17.7566,0.730985,1794.42,1813.0,613.0,136.681,0.931,6767.9,115.7,4.1,0.09,1.77,0.07,,,1.45,0.248342,"19,43,44,45,59",2020-01-30,2024-01-04,2024-01-05 12:15:24,KELT-7 b
1720,28900646,1685.01,,1,5,5,1,4,4,4,19.8,124.9,4.35,8,4,11,CP,True,11.1117,0.007,,1,spoc-s14-s60-b0A-CP,SPOC,04:34:22.55,43:02:13.34,37.818,0.096,-86.912,0.059,2459910.938093,0.0017795281,0.669144914216613,9.728104e-06,0.992163136341835,0.098100126,1.362771,0.099528,1254.37119318744,91.66477,1.92004069815713,0.14984521,204.691052152923,964.704854969071,13.492256,37.6153,0.07265,3457.0,157.0,4.7705,0.00663534,0.462408006191254,0.013731,,,0.459708,0.0202729,"19,59",2020-01-30,2023-06-13,2023-06-16 12:14:51,TOI-1685 b
1724,198384408,1689.01,,5,5,5,5,5,5,5,8.7,124.7,4.85,0,3,5,V,False,6.3196,0.006,,1,spoc-s19-b02,SPOC,17:11:08.42,56:39:32.04,-14.298,0.611,-60.333,0.761,2458823.255936,0.003739113,9.12381011959331,0.0053042974,5.1188391119771,0.34257415,0.307659,0.035808,283.324086990691,32.979588,2.0471843690411,0.49013633,148.745590444784,890.698609973666,8.011808,26.9148,0.1874,5470.16,101.004,4.30008,0.0737781,1.1485,0.0496106,,,0.96,0.124713,19,2020-01-30,2023-05-26,2023-05-26 00:00:00,Potentially on the neighboring star; possibly has a stellar companion; retired as TFOP FA
1725,267574918,1690.01,,1,5,5,1,4,4,4,0.0,212.9,1.16,1,0,0,CP,True,16.338,0.006,,1,spoc-s14-s60-b0A-CP,SPOC,18:57:39.76,53:30:32.49,240.759,0.148,-52.514,0.143,2459419.987351,0.03462824,1.40793693333245,3.3866268e-06,0.306353056989598,0.024809992,719.731119,23.214061,484643.744138852,21153.988,,,1652.8943345294,1626.22645713026,25.483854,24.7359,0.0434,5780.0,,4.438,,,,,,,,"14,15,19,22,26,40,41,49,53,54,55,56,59",2020-01-30,2023-06-13,2023-06-16 12:14:51,WD 1856+534 b
1729,353475866,1693.01,,2,4,2,2,4,4,4,7.7,84.1,3.05,9,4,4,CP,True,10.6714,0.007,,1,spoc-s01-s72-b0A-CP,SPOC,06:01:14,34:46:23.13,-22.762,0.084,-17.765,0.069,2458817.684965,0.00087178714,1.76669200948258,5.381065e-06,1.41966821621713,0.15623294,0.902088,0.063467,830.508297273804,58.453926,1.55747343966653,0.14315152,57.0208083739738,700.854864511965,16.687923,30.7947,0.0391,3474.0,157.0,4.77152,0.00661752,0.461259990930557,0.0137244,,,0.4585,0.020293,"19,43,44,45,72",2020-01-30,2024-06-06,2024-08-16 12:14:51,TOI-1693 b
1730,396740648,1694.01,,3,5,5,3,4,4,4,22.1,114.3,25.89,7,12,5,PC,True,10.7424,0.006,,1,spoc,SPOC,06:30:59.69,66:21:38.14,46.512,0.037,-20.362,0.046,2458843.657627,0.0009874341,3.77012960886973,0.00026957458,2.85120563457313,0.10558969,4.745447,0.118273,4361.18010817049,108.92766,5.4800265832157,0.46199888,195.288169585226,953.419593194318,26.865028,124.68,0.587,5058.0,122.082,4.53907,0.0868076,0.81833,0.0476885,,,0.845,0.108916,"19,20",2020-01-30,2020-02-19,2022-12-14 12:09:24,
1731,422756130,1695.01,,2,5,5,2,4,4,4,4.6,57.4,3.9,6,3,6,CP,True,11.0294,0.007,,1,spoc-s14-s60-b0A-PC,SPOC,01:27:41.22,72:17:47.81,71.707,0.055,40.475,0.062,2458791.519137,0.0006383377,3.1342945619236,5.8707283e-06,1.21587959150705,0.33217213,1.285845,0.083004,1183.6060713481,76.446625,1.79929660611783,1.3256298,34.5537032510597,618.362863114811,19.041552,45.1309,0.06805,3575.0,157.0,4.72334,0.0086441,0.516104996204376,0.0153254,,,0.513745,0.0202836,"18,19,24,25,52,58,59",2020-01-30,2023-05-22,2023-06-16 12:14:51,TOI-1695 b
1732,470381900,1696.01,,1,5,5,1,4,4,4,8.6,98.7,10.21,4,1,10,CP,True,13.9664,0.007,,1,spoc-s59-b0A,SPOC,04:21:07.36,48:49:11.39,12.93,0.127,-19.178,0.078,2459911.832125,0.0021197035,2.50052909832679,0.00037064744,0.880986494659664,0.3441977,13.744487,1.720999,12579.350475778,1583.843,3.17138532451465,1.1981618,13.8080730876402,491.646575914131,7.788581,64.9172,0.35625,3181.0,157.0,4.94798,0.00806131,0.280474990606308,0.00857285,,,0.254505,0.0202442,"19,59",2020-01-30,2023-03-06,2023-03-24 12:12:10,TOI-1696 b
1736,23650642,1700.01,,5,5,5,5,5,5,5,12.9,75.8,12.14,1,1,1,PC,False,10.8219,0.007,,1,qlp,QLP,08:24:21.27,42:06:17.05,26.602,0.084,-59.738,0.052,2458843.38029,0.00428,1.12355,0.00039,1.611,0.479,1.108016,0.005274,1020.0,4.85789,3.49799,0.294974,2963.42,2055.0,12.0,189.762,1.891,5524.0,107.6,4.41,0.07,1.01,0.05,0.00660561,0.0200052,0.97,0.124259,20,2020-02-19,2020-02-19,2022-12-14 12:09:24,small centroid offset; potential odd-even
