Planet Insolation (Earth Flux),Planet Equil Temp (K),Time Series Observations,Stellar Mass (M_Sun),Stellar log(g) (cm/s^2),Planet Radius (R_Earth),Stellar Eff Temp (K),Stellar Distance (pc),Depth (mmag),Depth (ppm),Period (days),Spectroscopy Observations,TFOPWG Disposition
-0.18124823016709243,0.07844080617880421,-0.4584030348712219,-0.12403888450839604,0.582411171267075,0.21196380825915914,-0.15268644736310646,-0.0640295424525592,0.3736060777930951,0.4799335220405982,-0.15109509513825425,-0.29527578511164654,True
-0.22018937642696562,-0.062185258354747454,-0.2925193948275222,0.41869171304560227,0.04180481682987145,0.39666656847977094,0.2817676923742331,-0.3759511023963287,0.2309840319650802,0.30297112070353716,-0.09355454315439694,-0.18074328843095053,True
-0.1855415337946678,0.05333923554243747,-0.4584030348712219,0.3950947305432545,-0.2548367510085764,0.32476754187802087,0.3271298157879847,-0.007948052042745088,0.062064413936502034,0.09246935478275055,-0.1102302860211859,-0.4098082817923426,True
-0.12164987129478406,0.3517761081145932,-0.2925193948275222,0.13552792301742897,-1.207631660669755,0.24726155439327566,0.1258753245861289,-0.15561946879745822,-0.18607471483755342,-0.21855176507500618,-0.09981973392745468,-0.4098082817923426,True
-0.17623184429584907,0.10651259700021413,-0.2925193948275222,-0.1712328495130916,0.2246090539917316,0.2536589451741554,-0.13351935296292972,-0.435447376183649,0.10874036817063501,0.15073422687408206,-0.13653810101143418,-0.06621079175025447,True
-0.1363169640581847,0.4816898051834302,-0.2925193948275222,0.7962434330831661,0.4194776611374537,0.47079361312875206,0.6778876433112191,-0.08105503377526786,-0.024149094268377417,-0.015348680008921133,-0.12370991743399608,-0.4098082817923426,True
-0.19810612912287726,0.13103351421802617,-0.4584030348712219,0.08833395801273343,-0.41028648082735353,0.8064241739054543,0.2006269927468182,-0.32037105089967993,0.18909565996130426,0.25086344478482875,-0.10246549309244986,-0.29527578511164654,True
-0.24110293411613523,-0.45897735670408557,-0.4584030348712219,-0.3600087095318738,0.6901840592779764,0.12469319912425748,-0.20188198965689344,0.008679099956420992,0.49386152032011205,0.6285994558762628,-0.11995299827060091,-0.4098082817923426,True
-0.2293275622017577,-0.2988494832279684,-0.4584030348712219,-0.4072026745365691,0.581507956401973,0.13909785104517206,-0.31496784661793625,0.15107525437543468,0.22680171607481836,0.29777119144987224,-0.1253044287546053,-0.4098082817923426,True
-0.21611798857471848,-0.16636616861970685,-0.4584030348712219,-0.1712328495130916,0.3783168694278124,0.3518995591164516,0.06645733194558098,-0.11584489681298187,0.24541997365541862,0.3209148962722498,-0.11743844059184974,-0.4098082817923426,True
