Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun),TFOPWG Disposition
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,-0.3385756830836528,-0.11864477986666391,-0.8862520053333269,-0.12663575478382252,-0.4098082817923426,0.8709874269310486,PC,0.8839625162671846,-0.2014568308542081,qlp,QLP,-0.16254504640832154,-0.30509661414477507,-0.2158955829756993,-0.25607434136333757,-0.6131139895072336,-0.09662481236175263,0.6415127405214034,-0.3080002091247609,-0.511552369013203,-1.3180457868938524,1.3291440609900207,-0.3784124265774417,-1.41832865536567,False
-2.6836848754030167,0.2324698557938369,0.203512762954543,-2.9580266108801148,-1.916290262644935,-1.423923045038327,-1.722323913699118,-0.4114148150287027,-0.17491819929990343,-0.9301110140862924,0.8686660854783755,-0.29527578511164654,0.16466672545876482,CP,0.11743711227191309,-0.2014568308542081,spoc-s01-s69-b0A-CP,SPOC,-0.16702874116393016,-1.1692882140773813,-0.27778414077022434,-0.33404597324272467,-0.7041998323053691,-0.22795459523572184,-0.28331661813275133,-0.31103314160167933,-0.5543005831007997,-1.145541937292262,0.9731161157711289,-0.3559907745956091,-1.2525834502691795,True
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,0.023568170107933276,-0.20205891929204103,1.6550972499653887,-0.4584030348712219,-0.4098082817923426,-0.8948143267496609,KP,-0.46691985562633287,-0.2014568308542081,qlp-s79-ffi,QLP,-0.08159516356673863,1.3371230982565538,-0.1376899057698473,-0.157736989553336,0.390947063888826,-0.18326916437298615,0.23360644286777021,-0.005628507913205082,-0.07540173961095167,0.32649091264131214,-1.4127582080691337,0.23102318640196504,0.37149774804090674,True
-1.8846350583457618,0.2324698557938369,0.203512762954543,-2.0974230096506754,-1.916290262644935,-1.423923045038327,-1.722323913699118,-0.472969011038604,-0.3046458609136989,-0.9471764554619765,0.3710151653472766,-0.18074328843095053,2.636789180611758,PC,-0.37949775634786254,-0.2014568308542081,spoc,QLP,-0.12820856618458434,-1.1132176142566554,-0.2744392617833445,-0.3298284255865526,-0.7661089787957264,-0.25951232396924284,-1.1055342311958505,-0.32578118388659055,-0.6256106639553967,-1.588940721083017,1.9046209607549067,-0.45063983689252846,-1.8795293186758066,True
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,-0.21854500086434525,-0.1193917721600255,-0.24551475716030355,-0.4584030348712219,-0.4098082817923426,-0.8948143267496609,PC,0.7020870496717618,-0.2014568308542081,qlp-s38-faintsearch,FAINT,-0.1435877620887868,-0.024471641613767425,-0.12583499860118416,-0.14284908214799075,0.045543997389546995,0.4847973098095872,1.7376118269064589,-0.34236062971698317,0.38738107590586024,1.1040360421418154,0.006579437090898151,-0.003089274681587556,1.5277498906559468,False
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,-0.04516734876978989,0.007098922849203049,-0.13347642465037832,-0.4584030348712219,-0.4098082817923426,-0.8948143267496609,KP,0.9154860346397165,-0.2014568308542081,spoc-s01-s65-b0A-KP,SPOC,-0.08755498128896598,-0.48758151802618493,0.5100237710361565,0.64854220407732,0.12316588618242393,-0.25379550429474446,-0.7534735569419415,0.39788109840716257,-0.2917734116993104,-0.6618922552611353,1.0760503527189846,-0.27687636430999707,-0.8154304718271853,True
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,-0.29651364914355355,-0.19284601434058146,-0.5686039588574315,1.200433365565775,1.4227116650987939,1.5773081284033323,PC,0.5896453549563567,-0.2014568308542081,qlp-s48-tois,FAINT,-0.16672837417269162,-1.1748560427503922,-0.264739665823876,-0.31760043431439094,-0.22158922629805936,0.37771345296758047,1.6052211864399286,-0.31487229324320537,0.43557700982452524,0.2907123364276489,-0.8966354280109393,0.08981249558966346,0.3007068005338634,False
-0.28653542423125195,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,-1.423923045038327,0.4765604221385761,3.451110984592605,0.5837769733243476,1.6550972499653887,-0.12663575478382252,0.1628542016111376,-0.541653976013519,KP,-1.2243046111715772,-0.2014568308542081,qlp-s69-ffi,SPOC/QLP,-0.16053059395614896,-0.5702961124986025,0.09917143025284503,0.13879562959032432,0.3862630565929884,0.0038804780477053255,0.9432679841072783,3.1417860183343533,-0.45741227511828586,0.35843606997494004,0.18667402965745508,-0.06997854927688826,0.22991585302682008,True
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,-0.3026690687445437,-0.1955849860829073,-0.4117173166452257,-0.2925193948275222,-0.4098082817923426,-0.8948143267496609,PC,1.2524009614836857,-0.2014568308542081,qlp-s07-faintsearch,FAINT,-0.14673530629211404,-1.2353713645224065,-0.1124574367283057,-0.12605479635537567,-0.08270800548534338,-0.24260412543855142,-0.3687113358313081,-0.2805118726509831,0.453606941088559,0.13098654975950935,-0.05793591041637472,-0.10713925738538871,0.041139993008038396,False
0.512514392826003,0.2324698557938369,0.203512762954543,0.48438779403764215,0.5216004653760166,0.48641140596163535,0.4765604221385761,0.05229346157922053,-0.0439455505305053,-0.11566900756270812,0.5368988053909762,-0.18074328843095053,-0.541653976013519,PC,0.5283561352209147,-0.2014568308542081,spoc,SPOC,-0.1648115103261548,-0.9115870811742346,-0.13555247931160486,-0.1550523703415262,0.13950258364804807,0.6368670457098605,1.5950971579866111,-0.3638168912745346,0.3556763899818586,0.3929368398952582,-0.025678236662738288,0.05806981872338239,0.37149774804090674,False
