,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Pipeline Signal ID,Source,Detection,PM RA err (mas/yr),PM Dec err (mas/yr),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err
2203,5,5,5,5,5,5,5,45.7,50.8,317.0,0,0,0,KP,True,12.658,0.007,1,spoc-s14-s55-b0A-KP,SPOC,0.018,0.021,0.0010416,3.58522837273409,3.3151002e-06,3.01972240538067,0.04476202,18.515952,0.219908,16909.2285380144,202.52211,14.5431828580075,0.72772807,547.171991573032,1233.53283483753,87.39749,511.388,3.6095,5852.0,126.792,4.40684,0.0787424,1.06725001335144,0.0521709,,,1.06,0.132448
2205,5,5,5,5,5,5,5,85.3,126.8,317.0,0,0,0,KP,True,11.1116,0.006,1,spoc-s14-s55-b0A-KP,SPOC,0.044,0.043,0.0003835,3.5539283440893,2.0924242e-06,3.63413878980795,0.025066141,10.219544,0.060229,9368.38877042408,55.471012,21.202807626713,1.1076765,2276.29501872558,1761.67944289858,180.8058,515.98,6.935,6184.0,138.383,3.9042,0.0873166,2.00851988792419,0.104535,0.26,0.1,1.18,0.163107
2206,5,5,5,5,5,5,5,53.0,59.7,317.0,0,0,0,KP,True,10.1213,0.008,1,qlp-s79-ffi,QLP,0.038,0.045,0.0003906,5.0316347,2.4e-06,5.265,0.234,5.346277,0.037568,4912.0,34.6008,15.3999,0.707425,1248.65,1656.0,61.0,368.03,3.1315,6350.0,133.7,3.87,0.08,2.16,0.1,,,1.26,0.181075
2207,5,5,5,5,5,5,5,235.7,250.9,317.0,0,0,1,KP,True,11.7213,0.006,1,spoc-s14-s55-b0A-KP,SPOC,0.037,0.041,0.00021606899,1.30618801690067,3.300982e-07,1.41777456339178,0.0074705756,27.20596,0.158196,24746.2794438472,145.69313,16.7588829905186,1.2310016,1025.50218948749,1443.28940477917,329.90997,231.337,1.2955,5489.0,139.399,4.59342,0.0885229,0.820181012153625,0.0486935,-0.24,0.1,0.962,0.132489
2208,5,5,5,5,5,5,5,46.9,180.2,81.13,0,0,0,KP,True,11.733,0.006,1,spoc,SPOC,0.034,0.042,0.00038474426,5.50806821746442,7.1658375e-05,2.63999947014186,0.034436543,23.691975,0.210452,21584.7573167274,193.81427,10.7299795003944,0.7361982,82.2406616223352,768.053368932309,112.98463,161.4,0.6075,4790.0,117.624,4.58765,0.0884501,0.740113,0.0496683,0.14,0.08,0.773,0.0905949
2210,5,5,5,5,5,5,5,88.3,105.1,317.0,0,0,0,KP,True,9.54417,0.006,1,qlp-s53-ffi,SPOC,0.042,0.045,0.0004222,4.627664,5.5e-06,2.306,0.228,6.741594,0.047117,6190.0,43.3954,14.3694,1.29133,1038.78,1581.0,161.0,222.663,1.2505,6727.6,123.7,4.22,0.09,1.55,0.07,0.126637,0.0526804,1.433,0.248358
2211,5,5,5,5,5,5,5,46.4,126.5,121.86,0,0,0,KP,True,11.0269,0.006,1,spoc-s14-s55-b0A-KP,SPOC,0.03,0.037,0.0006051416,5.00526050340238,7.094829e-06,4.90576462284046,0.049439706,8.32841,0.089487,7641.40409804106,82.416824,13.6314527589016,0.5997112,746.902456024435,1333.32407647945,99.076416,344.05,2.889,6115.0,128.697,4.16703,0.0816443,1.46701002120972,0.0633166,,,1.153,0.162159
2212,5,5,5,5,5,5,5,178.6,207.4,317.0,0,1,0,KP,True,10.1058,0.006,1,qlp-s74-ffi,QLP,0.042,0.049,0.0006024,1.8468345,1.5e-06,2.565,0.036,14.467858,0.241747,13237.0,222.632,16.4012,0.862733,1845.3,1825.0,391.0,231.161,1.6365,6352.0,144.2,4.27,0.09,1.36,0.07,-0.04,0.1,1.261,0.193608
2213,5,5,5,5,5,5,5,231.7,321.9,317.0,0,0,0,KP,True,10.2025,0.006,1,spoc-s14-s55-b0A-KP,QLP,0.03,0.041,0.00045708375,3.24404536626308,5.3987183e-06,3.6774272145435,0.03399909,16.422583,0.255609,15011.9381968929,235.3968,21.049846605203,1.2848113,983.309755560016,1428.21087790916,118.58496,197.572,1.0,5703.0,99.1,4.16,0.07,1.38951003551483,0.0603015,0.23,0.1,1.016,0.129725
2217,5,5,5,5,5,5,5,78.4,196.6,126.64,0,0,0,KP,True,11.3998,0.006,1,spoc-s14-s55-b0A-KP,SPOC,0.033,0.039,0.0002515,2.78847226599223,1.0113333e-06,2.94624639999892,0.01782826,15.822828,0.078573,14467.6854046062,72.36582,13.943264469001,0.77938974,850.675419350001,1377.4020357763,214.61458,303.336,1.8015,5833.0,144.943,4.35385,0.0853583,1.1295599937439,0.0628719,0.11,0.1,1.051,0.135164
