,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
4192,5,5,5,5,5,5,5,14.6,45.4,69.11,0,0,0,PC,False,11.6433,1,qlp-s25-faintsearch,FAINT,2.0714803,3.108,1.80382,1660.0,9.7546,4440.11,2274.0,21.0,732.131,7047.0,3.85,2.46,1.56
4196,3,5,5,3,4,4,4,74.4,203.3,125.51,5,9,2,PC,True,11.2961,1,qlp-s52-tois,FAINT,3.1774814,2.824,15.516952,14190.0,13.9016,625.157,1393.0,338.0,301.676,6071.0,4.39,1.12,1.13
4200,5,5,5,5,5,5,5,4.4,34.9,11.82,3,2,4,PC,False,11.2834,1,qlp-s26-faintsearch,FAINT,3.0038696,3.24,0.825473,760.0,3.44576,1394.39,1702.0,9.0,337.362,6171.0,4.35,1.2,1.18
4212,5,5,5,5,5,5,5,3.7,34.9,6.12,1,1,0,PC,False,11.812,1,qlp-s26-faintsearch,FAINT,2.6834113,1.146,0.825473,760.0,2.33576,168.322,1003.0,13.0,185.25,5221.0,4.62,0.76,0.89
4220,5,5,5,5,5,5,5,4.9,33.7,9.2,2,2,4,EB,False,11.1315,1,qlp-s49-tois,FAINT,0.7676706,1.057,0.369213,340.0,2.98877,2825.39,2031.0,15.0,417.852,6377.0,4.17,1.53,1.27
4222,5,5,5,5,5,5,5,2.0,31.5,6.63,0,2,0,O,False,11.024,1,spoc-s14-s60-b0A-PC,FAINT,10.7166248676311,3.8540185806001,1.421498,1308.39136651168,2.16171,27.0606425423974,581.706980925092,20.816416,416.29900701089525,4235.5,4.3079603497942385,0.65,1.1025655704054766
4226,5,5,5,5,5,5,5,33.3,36.6,317.0,5,4,2,PC,False,12.4627,1,qlp-s40-tois,FAINT,3.6311186,2.416,6.861775,6300.0,15.6552,1145.48,1460.137852442235,30.0,504.87,5979.9,4.3079603497942385,1.63,1.1025655704054766
4236,5,5,5,5,5,5,5,3.5,35.0,5.91,0,0,0,PC,False,12.3454,1,qlp-s26-faintsearch,FAINT,3.2428744,2.417,1.597206,1470.0,2.3171,113.659,909.0,9.0,107.33,4016.0,4.72,0.58,0.628
4237,3,5,5,3,4,4,4,7.1,66.2,105.62,1,4,4,CP,True,11.0383,1,qlp-s26-faintsearch,FAINT,56.4043748,4.069,9.881602,9060.0,12.5447,0.909373,272.0,47.0,319.632,6433.0,4.36,1.25,1.3
4240,5,5,5,5,5,5,5,6.3,45.1,14.24,1,0,5,PC,False,10.7386,1,qlp-s26-faintsearch,FAINT,6.269716,3.696,1.347148,1240.0,3.86288,154.408,982.0,12.0,148.525,4812.0,4.26,1.08,0.779
4244,5,5,5,5,5,5,5,5.0,44.1,5.36,0,0,0,PC,False,11.2063,1,qlp-s26-faintsearch,FAINT,0.9135968,1.247,0.586456,540.0,2.17077,2079.14,1881.0,11.0,228.59,5987.0,4.58,0.89,1.102
4245,5,5,5,5,5,5,5,6.8,32.1,21.52,0,1,2,EB,False,10.5893,1,qlp-s52-tois,FAINT,2.5139764,2.36,0.608183,560.0,4.90303,1043.42,1583.0,31.0,421.5,6150.0,3.9,2.05,1.22
4247,3,5,5,3,4,4,4,57.3,154.7,121.48,2,9,3,PC,True,10.8557,1,qlp-s52-tois,FAINT,3.8016217,3.223,9.060165,8310.0,13.6371,672.585,1418.0,120.0,334.993,6244.0,4.19,1.47,1.21
4248,3,5,5,3,4,4,4,60.8,72.6,317.0,1,29,1,CP,True,11.2633,1,spoc-s14-s60-b0A-CP,FAINT,3.66003195443592,4.78530137239927,8.446925,7749.7203264829,17.5565567809491,1804.55487188826,1662.31097672073,209.37764,505.703,5988.0,3.93,1.88626003265381,1.11
4249,5,5,5,5,5,5,5,7.4,35.2,39.54,0,0,0,PC,False,12.9551,1,qlp-s26-faintsearch,FAINT,4.6200781,2.149,3.784952,3480.0,7.04607,216.021,1068.0,12.0,610.592,5999.0,4.36,1.16,1.11
4253,5,5,5,5,5,5,5,7.9,19.5,125.31,0,0,0,PC,False,12.1158,1,qlp-s26-faintsearch,FAINT,9.8482192,4.24,1.814695,1670.0,13.8742,206.691,1056.0,9.0,1283.53,6126.0,3.46,3.31,1.16
4255,3,5,5,3,4,4,4,69.1,214.5,100.78,2,11,3,PC,True,11.5241,1,qlp-s52-tois,FAINT,4.0664446,1.712,21.646797,19740.0,12.1827,89.3911,856.0,235.0,205.387,5421.0,4.54,0.86,0.944
4258,5,5,5,5,5,5,5,6.3,46.1,13.55,1,2,4,EB,False,12.0672,1,qlp-s26-faintsearch,FAINT,3.6841446,2.967,2.456541,2260.0,3.74263,286.262,1145.0,21.0,204.639,4939.0,4.55,0.79,0.812
4268,5,5,5,5,5,5,5,15.0,76.0,45.24,1,2,4,EB,False,11.5576,1,qlp-s52-tois,FAINT,5.289835,3.179,2.532717,2330.0,7.64474,2582.58,1986.0,28.0,348.692,6655.0,4.5,1.11,1.4
4278,5,5,5,5,5,5,5,6.4,46.2,53.96,1,0,0,PC,False,12.9474,1,qlp-s56-tois,FAINT,14.793901,3.171,8.885006,8150.0,8.42756,19.3352,584.0,35.0,359.643,5095.0,4.52,0.84,0.85
