Time Series Observations,Spectroscopy Observations,Imaging Observations,Period (days),Depth (mmag),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar log(g) (cm/s^2),Stellar Mass (M_Sun),TFOPWG Disposition
-0.4584030348712219,-0.29527578511164654,0.16466672545876482,-0.15109509513825425,0.3736060777930951,0.21196380825915914,-0.18124823016709243,0.07844080617880421,0.6178188520176005,-0.0640295424525592,0.582411171267075,-0.12403888450839604,True
-0.2925193948275222,-0.18074328843095053,-0.541653976013519,-0.09355454315439694,0.2309840319650802,0.39666656847977094,-0.22018937642696562,-0.062185258354747454,7.216931900571912,-0.3759511023963287,0.04180481682987145,0.41869171304560227,True
-0.4584030348712219,-0.4098082817923426,1.5773081284033323,-0.1102302860211859,0.062064413936502034,0.32476754187802087,-0.1855415337946678,0.05333923554243747,-0.01593663409087176,-0.007948052042745088,-0.2548367510085764,0.3950947305432545,True
-0.2925193948275222,-0.4098082817923426,0.16466672545876482,-0.09981973392745468,-0.18607471483755342,0.24726155439327566,-0.12164987129478406,0.3517761081145932,-0.09030236322814128,-0.15561946879745822,-1.207631660669755,0.13552792301742897,True
-0.2925193948275222,-0.06621079175025447,-0.18849362527737706,-0.13653810101143418,0.10874036817063501,0.2536589451741554,-0.17623184429584907,0.10651259700021413,1.9758279563861336,-0.435447376183649,0.2246090539917316,-0.1712328495130916,True
-0.2925193948275222,-0.4098082817923426,0.16466672545876482,-0.12370991743399608,-0.024149094268377417,0.47079361312875206,-0.1363169640581847,0.4816898051834302,2.4958101112005746,-0.08105503377526786,0.4194776611374537,0.7962434330831661,True
-0.4584030348712219,-0.29527578511164654,0.16466672545876482,-0.10246549309244986,0.18909565996130426,0.8064241739054543,-0.19810612912287726,0.13103351421802617,0.9839516051427957,-0.32037105089967993,-0.41028648082735353,0.08833395801273343,True
-0.4584030348712219,-0.4098082817923426,0.5178270761949066,-0.11995299827060091,0.49386152032011205,0.12469319912425748,-0.24110293411613523,-0.45897735670408557,-0.18901689659342488,0.008679099956420992,0.6901840592779764,-0.3600087095318738,True
-0.4584030348712219,-0.4098082817923426,0.8709874269310486,-0.1253044287546053,0.22680171607481836,0.13909785104517206,-0.2293275622017577,-0.2988494832279684,-0.14140240418738878,0.15107525437543468,0.581507956401973,-0.4072026745365691,True
-0.4584030348712219,-0.4098082817923426,-0.541653976013519,-0.11743844059184974,0.24541997365541862,0.3518995591164516,-0.21611798857471848,-0.16636616861970685,0.26178318336679424,-0.11584489681298187,0.3783168694278124,-0.1712328495130916,True
-0.2925193948275222,-0.4098082817923426,-0.541653976013519,-0.13805324771888794,0.12454247299435697,0.2038272047468766,-0.21779638755667716,-0.18140630605209263,-0.15829529264650777,0.14456279696426189,0.40560686142339053,-0.3600087095318738,True
-0.2925193948275222,-0.29527578511164654,0.16466672545876482,-0.1304564327403386,0.21489451256957456,0.26569309115667405,-0.2044011630270504,-0.0717395230629201,2.1540155999101036,-0.17784836516612917,-0.062226181025609346,-0.2420237970201349,True
-0.4584030348712219,-0.29527578511164654,-0.541653976013519,-0.11360712454032273,0.30779426803784166,0.2940231417969235,-0.2225510674521028,-0.22655545676562128,0.13387479969121724,0.05051566373335311,0.4601545877407916,0.15912490551977676,True
-0.4584030348712219,-0.29527578511164654,0.16466672545876482,-0.11522990241954673,-0.06194927716375468,-0.004346931140839922,-0.2136110981318151,-0.14467385327977,3.4058733389220546,-0.3120684097050569,-0.09006455347499863,-0.21842681451778714,True
-0.4584030348712219,-0.4098082817923426,-0.8948143267496609,-0.0871775951894341,0.14306057596962501,-0.001353332052605178,-0.24768938988970504,-0.5838352733645418,-0.07787940126761214,0.05859336036879915,0.37676850108763915,-0.33641172702952604,True
-0.2925193948275222,-0.4098082817923426,0.16466672545876482,-0.12469033895780336,0.29115489191028354,0.11197756341464822,-0.24007549483998747,-0.4424853440622231,2.1902303149600053,-0.41608027448450763,0.5991851616189673,-0.6903664645647422,True
-0.4584030348712219,-0.4098082817923426,-0.541653976013519,-0.10948839936600543,-0.10814211128281415,0.4779014182902855,-0.14984952640885849,0.23645882931594375,-0.20246586071283776,0.2931402404156602,-1.5095312293300458,-0.19482983201543938,True
0.3710151653472766,0.1628542016111376,1.5773081284033323,-0.06224175297092868,-0.24997272376128524,-0.4956659447387183,-0.25671205927285967,-0.8016645114110416,-0.13619810616364963,-0.5031995839272634,0.19248041093311055,-0.3128147445271782,True
-0.4584030348712219,-0.29527578511164654,0.5178270761949066,0.043913166606857665,-0.22871547181796092,0.13335966909403912,0.0,-2.711905091635895e-16,-0.19873407164149415,-0.5260091184393099,-1.7353349456055052,-0.33641172702952604,True
1.3663170056094747,-0.29527578511164654,0.8709874269310486,-0.08069974304768579,-0.1011321831471009,-0.6417287974788736,-0.26019019094666757,-1.2271589128264395,-0.31980693755822087,-0.5532714617425649,2.0971992730641213,-1.8563924773322549,True
0.03924788525987717,1.9953741485022742,4.049430583556325,-0.11484195161633426,-0.1440494251292657,1.1664617295207442,0.7980930873928608,2.056064989109734,0.4891615486147953,-0.398028473610554,-0.117096484080546,0.3785768427916108,True
2.0298515657842735,0.2773866982918336,0.8709874269310486,-0.08892707187766087,-0.27957251650571646,-0.6389690625944477,-0.22716418227419993,-0.1397113090783912,-0.24615145205876085,-0.47681999180727863,0.5250247696593554,-0.45439663954126464,True
