Planet Equil Temp (K),Stellar Mass (M_Sun),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Imaging Observations,Time Series Observations,Spectroscopy Observations,Stellar Distance (pc),Planet Insolation (Earth Flux),Stellar Radius (R_Sun),Planet SNR,Planet Radius (R_Earth),TFOPWG Disposition
0.07844080617880432,-0.12403888450839566,-0.15268644736310638,0.5824111712670739,0.1646667254587649,-0.45840303487123196,-0.29527578511164715,-0.06402954245255922,-0.18124823016709235,-0.24063017838015177,0.6178188520176044,0.21196380825915906,True
-0.062185258354747544,0.41869171304560104,0.281767692374233,0.041804816829871375,-0.5416539760135193,-0.29251939482752864,-0.1807432884309509,-0.3759511023963288,-0.22018937642696557,-0.12200354062878878,7.216931900571958,0.3966665684797708,True
0.053339235542437545,0.39509473054325334,0.32712981578798456,-0.2548367510085759,1.5773081284033332,-0.45840303487123196,-0.4098082817923434,-0.007948052042745091,-0.18554153379466773,-0.05139819522263808,-0.01593663409087186,0.3247675418780207,True
0.35177610811459376,0.13552792301742855,0.12587532458612885,-1.2076316606697528,0.1646667254587649,-0.29251939482752864,-0.4098082817923434,-0.15561946879745828,-0.12164987129478402,0.25282533347687,-0.09030236322814186,0.24726155439327555,True
0.10651259700021429,-0.17123284951309106,-0.13351935296292966,0.22460905399173114,-0.1884936252773772,-0.29251939482752864,-0.06621079175025461,-0.43544737618364915,-0.176231844295849,-0.11150935532643212,1.9758279563861463,0.25365894517415527,True
0.4816898051834309,0.7962434330831638,0.6778876433112189,0.4194776611374529,0.1646667254587649,-0.29251939482752864,-0.4098082817923434,-0.08105503377526789,-0.13631696405818464,0.08609642477881335,2.495810111200591,0.4707936131287519,True
0.13103351421802636,0.08833395801273315,0.2006269927468181,-0.41028648082735275,0.1646667254587649,-0.45840303487123196,-0.29527578511164715,-0.32037105089968004,-0.1981061291228772,0.0637999999137131,0.983951605142802,0.806424173905454,True
-0.45897735670408624,-0.3600087095318727,-0.20188198965689336,0.6901840592779751,0.517827076194907,-0.45840303487123196,-0.4098082817923434,0.008679099956420995,-0.24110293411613515,-0.27069543333717205,-0.1890168965934261,0.12469319912425743,True
-0.29884948322796884,-0.4072026745365679,-0.3149678466179361,0.5815079564019718,0.8709874269310491,-0.45840303487123196,-0.4098082817923434,0.15107525437543473,-0.22932756220175762,-0.20566492065116063,-0.1414024041873897,0.139097851045172,True
-0.1663661686197071,-0.17123284951309106,0.06645733194558096,0.3783168694278117,-0.5416539760135193,-0.45840303487123196,-0.4098082817923434,-0.1158448968129819,-0.21611798857471842,-0.1416764094225158,0.2617831833667959,0.35189955911645143,True
-0.1814063060520929,-0.3600087095318727,-0.29324513963106913,0.40560686142338975,-0.5416539760135193,-0.29251939482752864,-0.4098082817923434,0.14456279696426194,-0.21779638755667707,-0.2220784370604185,-0.1582952926465088,0.20382720474687652,True
-0.0717395230629202,-0.24202379702013418,-0.1207412900294785,-0.06222618102560923,0.1646667254587649,-0.29251939482752864,-0.29527578511164715,-0.17784836516612923,-0.2044011630270503,-0.1490119278022002,2.1540155999101174,0.26569309115667394,True
-0.2265554567656216,0.15912490551977626,0.13481996863954465,0.46015458774079065,-0.5416539760135193,-0.45840303487123196,-0.29527578511164715,0.05051566373335313,-0.2225510674521027,-0.19260888603493947,0.1338747996912181,0.2940231417969234,True
-0.14467385327977023,-0.21842681451778648,-0.024905818028594817,-0.09006455347499845,0.1646667254587649,-0.45840303487123196,-0.29527578511164715,-0.312068409705057,-0.21361109813181503,-0.11020501509555515,3.4058733389220768,-0.0043469311408399205,True
-0.5838352733645426,-0.336411727029525,-0.2951618490710868,0.3767685010876384,-0.8948143267496614,-0.45840303487123196,-0.4098082817923434,0.05859336036879917,-0.24768938988970496,-0.2455313107770334,-0.07787940126761264,-0.0013533320526051774,True
-0.4424853440622238,-0.69036646456474,-0.5871405871004457,0.5991851616189662,0.1646667254587649,-0.29251939482752864,-0.4098082817923434,-0.4160802744845078,-0.24007549483998739,-0.23472868560106308,2.1902303149600195,0.11197756341464817,True
0.2364588293159441,-0.19482983201543877,-0.08572939759182222,-1.509531229330043,-0.5416539760135193,-0.45840303487123196,-0.4098082817923434,0.29314024041566034,-0.14984952640885843,0.17320485123100954,-0.20246586071283906,0.47790141829028526,True
-0.8016645114110428,-0.3128147445271773,-0.1616310914165222,0.19248041093311016,1.5773081284033332,0.37101516534728474,0.16285420161113792,-0.5031995839272636,-0.25671205927285956,-0.18146067360238935,-0.13619810616365052,-0.49566594473871806,True
-2.711905091635899e-16,-0.336411727029525,-0.22980205716648403,-1.7353349456055018,0.517827076194907,-0.45840303487123196,-0.29527578511164715,-0.5260091184393101,0.0,0.35280254294433133,-0.19873407164149542,0.13335966909403907,True
-1.2271589128264413,-1.856392477332249,-1.6106634280698835,2.0971992730641174,0.8709874269310491,1.3663170056095046,-0.29527578511164715,-0.5532714617425651,-0.26019019094666745,-0.4474848882556166,-0.319806937558223,-0.6417287974788733,True
2.056064989109737,0.3785768427916097,0.22298860288035763,-0.11709648408054577,4.049430583556328,0.03924788525987804,1.9953741485022782,-0.3980284736105541,0.7980930873928604,0.4019624437010666,0.4891615486147985,1.1664617295207438,True
-0.1397113090783914,-0.45439663954126325,-0.43763725077906723,0.5250247696593543,0.8709874269310491,2.029851565784318,0.2773866982918342,-0.4768199918072788,-0.22716418227419985,-0.2557820898193901,-0.24615145205876243,-0.6389690625944475,True
