Planet Equil Temp (K),Stellar Mass (M_Sun),Time Series Observations,TESS Mag,Stellar log(g) (cm/s^2),Spectroscopy Observations,Duration (hours),Imaging Observations,Planet Insolation (Earth Flux),Stellar Eff Temp (K),Stellar Distance (pc),Predicted Mass (M_Earth),TFOPWG Disposition
0.07844080617880432,-0.12403888450839566,-0.45840303487123196,0.8723023301033673,0.5824111712670739,-0.29527578511164715,-0.8274272548854863,0.1646667254587649,-0.18124823016709235,-0.15268644736310638,-0.06402954245255922,-0.0009925391879427865,True
-0.062185258354747544,0.41869171304560104,-0.29251939482752864,-0.7073892225424459,0.041804816829871375,-0.1807432884309509,0.3789638368663273,-0.5416539760135193,-0.22018937642696557,0.281767692374233,-0.3759511023963288,1.6550972499653924,True
0.053339235542437545,0.39509473054325334,-0.45840303487123196,0.35450803296942557,-0.2548367510085759,-0.4098082817923434,0.2866085565302084,1.5773081284033332,-0.18554153379466773,0.32712981578798456,-0.007948052042745091,0.004201290795961006,True
0.35177610811459376,0.13552792301742855,-0.29251939482752864,-0.6177991489521109,-1.2076316606697528,-0.4098082817923434,1.5276354452487904,0.1646667254587649,-0.12164987129478402,0.12587532458612885,-0.15561946879745828,0.045422163684086636,True
0.10651259700021429,-0.17123284951309106,-0.29251939482752864,-0.8312567278203861,0.22460905399173114,-0.06621079175025461,-0.08660069595923338,-0.1884936252773772,-0.176231844295849,-0.13351935296292966,-0.43544737618364915,0.05531517317723682,True
0.4816898051834309,0.7962434330831638,-0.29251939482752864,-0.3530133134029108,0.4194776611374529,-0.4098082817923434,0.3297209769930217,0.1646667254587649,-0.13631696405818464,0.6778876433112189,-0.08105503377526789,1.6550972499653924,True
0.13103351421802636,0.08833395801273315,-0.45840303487123196,-0.7469986991592329,-0.41028648082735275,-0.29527578511164715,0.8500340867386733,0.1646667254587649,-0.1981061291228772,0.2006269927468181,-0.32037105089968004,1.6550972499653924,True
-0.45897735670408624,-0.3600087095318727,-0.45840303487123196,1.3153308104281074,0.6901840592779751,-0.4098082817923434,-0.24490316258154937,0.517827076194907,-0.24110293411613515,-0.20188198965689336,0.008679099956420995,-0.1368565362272049,True
-0.29884948322796884,-0.4072026745365679,-0.45840303487123196,1.358455921064135,0.5815079564019718,-0.4098082817923434,-0.19224279501614722,0.8709874269310491,-0.22932756220175762,-0.3149678466179361,0.15107525437543473,-0.14683198746613127,True
-0.1663661686197071,-0.17123284951309106,-0.45840303487123196,0.4413441932446894,0.3783168694278117,-0.4098082817923434,-0.15435059856659974,-0.5416539760135193,-0.21611798857471842,0.06645733194558096,-0.1158448968129819,1.6550972499653924,True
-0.1814063060520929,-0.3600087095318727,-0.29251939482752864,1.3270495904922452,0.40560686142338975,-0.4098082817923434,-0.9150593464672514,-0.5416539760135193,-0.21779638755667707,-0.29324513963106913,0.14456279696426194,-0.02086099992001943,True
-0.0717395230629202,-0.24202379702013418,-0.29251939482752864,0.40155893492694067,-0.06222618102560923,-0.29527578511164715,-0.0866653623144211,0.1646667254587649,-0.2044011630270503,-0.1207412900294785,-0.17784836516612923,0.07411189121422211,True
-0.2265554567656216,0.15912490551977626,-0.45840303487123196,0.7448020030055444,0.46015458774079065,-0.29527578511164715,-0.22366197623863093,-0.5416539760135193,-0.2225510674521027,0.13481996863954465,0.05051566373335313,1.6550972499653924,True
-0.14467385327977023,-0.21842681451778648,-0.45840303487123196,-0.18039568305815634,-0.09006455347499845,-0.29527578511164715,0.25245817651083285,0.1646667254587649,-0.21361109813181503,-0.024905818028594817,-0.312068409705057,-0.32045430407091646,True
-0.5838352733645426,-0.336411727029525,-0.45840303487123196,1.2442564093391102,0.3767685010876384,-0.4098082817923434,-0.30402008333821934,-0.8948143267496614,-0.24768938988970496,-0.2951618490710868,0.05859336036879917,-0.3250710418343865,True
-0.4424853440622238,-0.69036646456474,-0.29251939482752864,0.07390184433363957,0.5991851616189662,-0.4098082817923434,-0.3744493419244136,0.1646667254587649,-0.24007549483998739,-0.5871405871004457,-0.4160802744845078,-0.176263690708253,True
0.2364588293159441,-0.19482983201543877,-0.45840303487123196,0.505328732394883,-1.509531229330043,-0.4098082817923434,0.2134925785499149,-0.5416539760135193,-0.14984952640885843,-0.08572939759182222,0.29314024041566034,1.6550972499653924,True
-0.8016645114110428,-0.3128147445271773,0.37101516534728474,-1.0190501783481982,0.19248041093311016,0.16285420161113792,-0.6652221074350947,1.5773081284033332,-0.25671205927285956,-0.1616310914165222,-0.5031995839272636,-0.8086743225578765,True
-2.711905091635899e-16,-0.336411727029525,-0.45840303487123196,-2.2335845441954687,-1.7353349456055018,-0.29527578511164715,3.2896072385328705,0.517827076194907,0.0,-0.22980205716648403,-0.5260091184393101,-0.20907550552720106,True
-1.2271589128264413,-1.856392477332249,1.3663170056095046,1.2690416291747617,2.0971992730641174,-0.29527578511164715,-1.0686366387032362,0.8709874269310491,-0.26019019094666745,-1.6106634280698835,-0.5532714617425651,-0.893836645944744,True
2.056064989109737,0.3785768427916097,0.03924788525987804,-1.7825404183068583,-0.11709648408054577,1.9953741485022782,1.840824158888318,4.049430583556328,0.7980930873928604,0.22298860288035763,-0.3980284736105541,1.6550972499653924,True
-0.1397113090783914,-0.45439663954126325,2.029851565784318,-0.42168536457876016,0.5250247696593543,0.2773866982918342,-0.17931967085392153,0.8709874269310491,-0.22716418227419985,-0.43763725077906723,-0.4768199918072788,-0.8952381556229403,True
