Time Series Observations,Spectroscopy Observations,Imaging Observations,Period (days),Depth (mmag),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar log(g) (cm/s^2),Stellar Mass (M_Sun),TFOPWG Disposition
-0.45840303487123196,-0.29527578511164715,0.1646667254587649,-0.15109509513825417,0.37360607779309524,0.21196380825915906,-0.18124823016709235,0.07844080617880432,0.6178188520176044,-0.06402954245255922,0.5824111712670739,-0.12403888450839566,True
-0.29251939482752864,-0.1807432884309509,-0.5416539760135193,-0.09355454315439689,0.23098403196508027,0.3966665684797708,-0.22018937642696557,-0.062185258354747544,7.216931900571958,-0.3759511023963288,0.041804816829871375,0.41869171304560104,True
-0.45840303487123196,-0.4098082817923434,1.5773081284033332,-0.11023028602118583,0.062064413936502055,0.3247675418780207,-0.18554153379466773,0.053339235542437545,-0.01593663409087186,-0.007948052042745091,-0.2548367510085759,0.39509473054325334,True
-0.29251939482752864,-0.4098082817923434,0.1646667254587649,-0.09981973392745462,-0.18607471483755347,0.24726155439327555,-0.12164987129478402,0.35177610811459376,-0.09030236322814186,-0.15561946879745828,-1.2076316606697528,0.13552792301742855,True
-0.29251939482752864,-0.06621079175025461,-0.1884936252773772,-0.1365381010114341,0.10874036817063505,0.25365894517415527,-0.176231844295849,0.10651259700021429,1.9758279563861463,-0.43544737618364915,0.22460905399173114,-0.17123284951309106,True
-0.29251939482752864,-0.4098082817923434,0.1646667254587649,-0.12370991743399601,-0.024149094268377427,0.4707936131287519,-0.13631696405818464,0.4816898051834309,2.495810111200591,-0.08105503377526789,0.4194776611374529,0.7962434330831638,True
-0.45840303487123196,-0.29527578511164715,0.1646667254587649,-0.1024654930924498,0.1890956599613043,0.806424173905454,-0.1981061291228772,0.13103351421802636,0.983951605142802,-0.32037105089968004,-0.41028648082735275,0.08833395801273315,True
-0.45840303487123196,-0.4098082817923434,0.517827076194907,-0.11995299827060085,0.4938615203201122,0.12469319912425743,-0.24110293411613515,-0.45897735670408624,-0.1890168965934261,0.008679099956420995,0.6901840592779751,-0.3600087095318727,True
-0.45840303487123196,-0.4098082817923434,0.8709874269310491,-0.1253044287546052,0.22680171607481842,0.139097851045172,-0.22932756220175762,-0.29884948322796884,-0.1414024041873897,0.15107525437543473,0.5815079564019718,-0.4072026745365679,True
-0.45840303487123196,-0.4098082817923434,-0.5416539760135193,-0.11743844059184967,0.2454199736554187,0.35189955911645143,-0.21611798857471842,-0.1663661686197071,0.2617831833667959,-0.1158448968129819,0.3783168694278117,-0.17123284951309106,True
-0.29251939482752864,-0.4098082817923434,-0.5416539760135193,-0.13805324771888786,0.12454247299435701,0.20382720474687652,-0.21779638755667707,-0.1814063060520929,-0.1582952926465088,0.14456279696426194,0.40560686142338975,-0.3600087095318727,True
-0.29251939482752864,-0.29527578511164715,0.1646667254587649,-0.13045643274033852,0.21489451256957465,0.26569309115667394,-0.2044011630270503,-0.0717395230629202,2.1540155999101174,-0.17784836516612923,-0.06222618102560923,-0.24202379702013418,True
-0.45840303487123196,-0.29527578511164715,-0.5416539760135193,-0.11360712454032268,0.30779426803784177,0.2940231417969234,-0.2225510674521027,-0.2265554567656216,0.1338747996912181,0.05051566373335313,0.46015458774079065,0.15912490551977626,True
-0.45840303487123196,-0.29527578511164715,0.1646667254587649,-0.11522990241954666,-0.0619492771637547,-0.0043469311408399205,-0.21361109813181503,-0.14467385327977023,3.4058733389220768,-0.312068409705057,-0.09006455347499845,-0.21842681451778648,True
-0.45840303487123196,-0.4098082817923434,-0.8948143267496614,-0.08717759518943405,0.14306057596962504,-0.0013533320526051774,-0.24768938988970496,-0.5838352733645426,-0.07787940126761264,0.05859336036879917,0.3767685010876384,-0.336411727029525,True
-0.29251939482752864,-0.4098082817923434,0.1646667254587649,-0.12469033895780329,0.29115489191028365,0.11197756341464817,-0.24007549483998739,-0.4424853440622238,2.1902303149600195,-0.4160802744845078,0.5991851616189662,-0.69036646456474,True
-0.45840303487123196,-0.4098082817923434,-0.5416539760135193,-0.10948839936600538,-0.10814211128281419,0.47790141829028526,-0.14984952640885843,0.2364588293159441,-0.20246586071283906,0.29314024041566034,-1.509531229330043,-0.19482983201543877,True
0.37101516534728474,0.16285420161113792,1.5773081284033332,-0.06224175297092865,-0.24997272376128535,-0.49566594473871806,-0.25671205927285956,-0.8016645114110428,-0.13619810616365052,-0.5031995839272636,0.19248041093311016,-0.3128147445271773,True
-0.45840303487123196,-0.29527578511164715,0.517827076194907,0.04391316660685764,-0.228715471817961,0.13335966909403907,0.0,-2.711905091635899e-16,-0.19873407164149542,-0.5260091184393101,-1.7353349456055018,-0.336411727029525,True
1.3663170056095046,-0.29527578511164715,0.8709874269310491,-0.08069974304768575,-0.10113218314710094,-0.6417287974788733,-0.26019019094666745,-1.2271589128264413,-0.319806937558223,-0.5532714617425651,2.0971992730641174,-1.856392477332249,True
0.03924788525987804,1.9953741485022782,4.049430583556328,-0.11484195161633419,-0.14404942512926572,1.1664617295207438,0.7980930873928604,2.056064989109737,0.4891615486147985,-0.3980284736105541,-0.11709648408054577,0.3785768427916097,True
2.029851565784318,0.2773866982918342,0.8709874269310491,-0.08892707187766083,-0.2795725165057166,-0.6389690625944475,-0.22716418227419985,-0.1397113090783914,-0.24615145205876243,-0.4768199918072788,0.5250247696593543,-0.45439663954126325,True
