ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TFOPWG Disposition,TESS Mag,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
0.378530700431698,0.17517218885556,-0.000992539187942787,-0.458403034871232,-0.295275785111647,0.164666725458765,True,0.872302330103367,-0.151095095138254,-0.827427254885486,0.373606077793095,0.479933522040598,0.211963808259159,-0.181248230167092,0.0784408061788043,0.617818852017604,-0.0640295424525592,-0.152686447363106,0.582411171267074,-0.240630178380152,-0.124038884508396
0.889430527313879,0.0949950160347496,1.65509724996539,-0.292519394827529,-0.180743288430951,-0.541653976013519,True,-0.707389222542446,-0.0935545431543969,0.378963836866327,0.23098403196508,0.302971120703537,0.396666568479771,-0.220189376426966,-0.0621852583547475,7.21693190057196,-0.375951102396329,0.281767692374233,0.0418048168298714,-0.122003540628789,0.418691713045601
-0.0308047030341462,-0.0110778896225955,0.00420129079596101,-0.458403034871232,-0.409808281792343,1.57730812840333,True,0.354508032969426,-0.110230286021186,0.286608556530208,0.0620644139365021,0.0924693547827506,0.324767541878021,-0.185541533794668,0.0533392355424375,-0.0159366340908719,-0.00794805204274509,0.327129815787985,-0.254836751008576,-0.0513981952226381,0.395094730543253
0.0174127505069431,-0.0454395351172284,0.0454221636840866,-0.292519394827529,-0.409808281792343,0.164666725458765,True,-0.617799148952111,-0.0998197339274546,1.52763544524879,-0.186074714837553,-0.218551765075006,0.247261554393276,-0.121649871294784,0.351776108114594,-0.0903023632281419,-0.155619468797458,0.125875324586129,-1.20763166066975,0.25282533347687,0.135527923017429
1.40033035419606,0.722717539889602,0.0553151731772368,-0.292519394827529,-0.0662107917502546,-0.188493625277377,True,-0.831256727820386,-0.136538101011434,-0.0866006959592334,0.108740368170635,0.150734226874082,0.253658945174155,-0.176231844295849,0.106512597000214,1.97582795638615,-0.435447376183649,-0.13351935296293,0.224609053991731,-0.111509355326432,-0.171232849513091
0.386737926566351,-0.0842831343720309,1.65509724996539,-0.292519394827529,-0.409808281792343,0.164666725458765,True,-0.353013313402911,-0.123709917433996,0.329720976993022,-0.0241490942683774,-0.0153486800089211,0.470793613128752,-0.136316964058185,0.481689805183431,2.49581011120059,-0.0810550337752679,0.677887643311219,0.419477661137453,0.0860964247788134,0.796243433083164
1.32954302878467,0.316353732300899,1.65509724996539,-0.458403034871232,-0.295275785111647,0.164666725458765,True,-0.746998699159233,-0.10246549309245,0.850034086738673,0.189095659961304,0.250863444784829,0.806424173905454,-0.198106129122877,0.131033514218026,0.983951605142802,-0.32037105089968,0.200626992746818,-0.410286480827353,0.0637999999137131,0.0883339580127332
-0.119032383981671,-0.0628693552956654,-0.136856536227205,-0.458403034871232,-0.409808281792343,0.517827076194907,True,1.31533081042811,-0.119952998270601,-0.244903162581549,0.493861520320112,0.628599455876263,0.124693199124257,-0.241102934116135,-0.458977356704086,-0.189016896593426,0.008679099956421,-0.201881989656893,0.690184059277975,-0.270695433337172,-0.360008709531873
-0.186741999592563,-0.14030755637415,-0.146831987466131,-0.458403034871232,-0.409808281792343,0.870987426931049,True,1.35845592106414,-0.125304428754605,-0.192242795016147,0.226801716074818,0.297771191449872,0.139097851045172,-0.229327562201758,-0.298849483227969,-0.14140240418739,0.151075254375435,-0.314967846617936,0.581507956401972,-0.205664920651161,-0.407202674536568
0.158987401329716,-0.17342421471318,1.65509724996539,-0.458403034871232,-0.409808281792343,-0.541653976013519,True,0.441344193244689,-0.11743844059185,-0.1543505985666,0.245419973655419,0.32091489627225,0.351899559116451,-0.216117988574718,-0.166366168619707,0.261783183366796,-0.115844896812982,0.066457331945581,0.378316869427812,-0.141676409422516,-0.171232849513091
-0.0379860259019681,-0.0663553193313528,-0.0208609999200194,-0.292519394827529,-0.409808281792343,-0.541653976013519,True,1.32704959049225,-0.138053247718888,-0.915059346467251,0.124542472994357,0.170442593434522,0.203827204746877,-0.217796387556677,-0.181406306052093,-0.158295292646509,0.144562796964262,-0.293245139631069,0.40560686142339,-0.222078437060419,-0.360008709531873
0.269784954147539,0.0949950160347496,0.0741118912142221,-0.292519394827529,-0.295275785111647,0.164666725458765,True,0.401558934926941,-0.130456432740339,-0.0866653623144211,0.214894512569575,0.282963496368159,0.265693091156674,-0.20440116302705,-0.0717395230629202,2.15401559991012,-0.177848365166129,-0.120741290029479,-0.0622261810256092,-0.1490119278022,-0.242023797020134
0.0676820105816959,-0.181890127371278,1.65509724996539,-0.458403034871232,-0.295275785111647,-0.541653976013519,True,0.744802003005544,-0.113607124540323,-0.223661976238631,0.307794268037842,0.39836285418953,0.294023141796923,-0.222551067452103,-0.226555456765622,0.133874799691218,0.0505156637333531,0.134819968639545,0.460154587740791,-0.192608886034939,0.159124905519776
0.0286976864420917,0.0521674578820187,-0.320454304070916,-0.458403034871232,-0.295275785111647,0.164666725458765,True,-0.180395683058156,-0.115229902419547,0.252458176510833,-0.0619492771637547,-0.0627029017223503,-0.00434693114083992,-0.213611098131815,-0.14467385327977,3.40587333892208,-0.312068409705057,-0.0249058180285948,-0.0900645534749985,-0.110205015095555,-0.218426814517786
